sep=;

"storeNumber";"productionArea";"date";"schedule";"itemNumber";"v1_forecast";
"8";"390";"2021-10-18";"8:00AM";"104473179";"4";
"8";"390";"2021-10-18";"8:00AM";"104978599";"24";
"8";"390";"2021-10-18";"8:00AM";"105018426";"2";
"8";"390";"2021-10-18";"8:00AM";"105018451";"2";
"8";"390";"2021-10-18";"8:00AM";"105033651";"4";
"8";"390";"2021-10-18";"8:00AM";"105190120";"4";
"8";"390";"2021-10-18";"8:00AM";"105348994";"2";
"8";"390";"2021-10-18";"8:00AM";"105349022";"2";
"8";"390";"2021-10-18";"8:00AM";"105453541";"2";
"8";"390";"2021-10-18";"8:00AM";"105810149";"28";
"8";"390";"2021-10-18";"8:00AM";"105810261";"30";
